PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,AGE,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,MARITALSTATUS_Single,EDUCATION_GRADUATE,EDUCATION_OTHERS,EDUCATION_POST-GRADUATE,EDUCATION_PROFESSIONAL,EDUCATION_SSC,EDUCATION_UNDER GRADUATE,GENDER_M,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,Approved_Flag_P2,Approved_Flag_P3,Approved_Flag_P4
674,5,2,3,1,1,0.2,0.2,0.6,0.4,1,1,0.2,0.2,0,0,2,0,0,0,2,0,5,1,128,2,26,19,13,2,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,41,11,2,2,9,7,7,5,15,14,8,28,28000,13,0.6,1.0,0.98,0.895,1,0.99,1,1.0,1.0,0.778,0.182,12.358,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
27687,7,4,3,0,0,0.0,0.0,0.429,0.571,1,0,0.143,0.0,1,0,1,3,0,0,1,2,5,2,86,8,76,35,2,26,25,24,4,10,6,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,1,0,1,3,1,1,88,3,2,1,32,16000,102,0.429,0.0,0.007,1.0,1,0.0,1,1.0,0.0,0.333,0.0,5.137,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
29611,3,1,2,2,0,0.667,0.0,0.667,0.333,2,0,0.667,0.0,1,0,1,0,1,0,1,1,2,0,43,3,89,2,2,1,29,29,1,1,0,29,29,0,0,2,2,2,0,0,0,0,0,0,0,0,0,29,11,4,1,4,3,1,3,1,10,5,3,52,42644,90,0.667,1.0,1.001,1.0,1,1.001,1,0.333,0.25,0.333,0.25,21.326,1,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
5365,11,7,4,1,1,0.091,0.091,0.364,0.636,1,1,0.091,0.091,1,0,4,0,0,0,7,0,11,0,71,2,38,18,3,4,4,4,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,4,0,0,22,3,3,0,4,4,4,30,35000,118,0.364,1.0,0.87,0.123,1,1.0,1,1.0,0.0,0.136,0.0,19.874,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
25726,8,4,4,3,1,0.375,0.125,0.5,0.5,3,2,0.375,0.25,0,1,1,0,1,0,4,3,5,1,54,4,44,35,3,3,667,667,1,2,1,26,667,1,1,17,5,9,0,0,0,1,0,1,0,0,0,26,10,0,0,0,7,1,3,138,4,1,0,31,53000,76,0.5,1.0,0.957,1.0,1,0.973,1,0.333,0.0,0.143,0.0,17.943,1,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
1479,6,1,5,0,0,0.0,0.0,0.833,0.167,1,0,0.167,0.0,0,2,1,1,0,1,1,3,3,0,87,6,31,12,11,2,8,5,0,1,1,0,5,0,0,21,5,11,0,0,0,0,0,0,0,0,0,5,13,1,0,0,2,0,0,108,4,1,0,37,21500,247,0.833,0.0,0.569,0.0,1,0.736,1,0.0,0.0,0.0,0.0,27.968,0,1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
14045,48,34,14,5,4,0.104,0.083,0.292,0.708,6,5,0.125,0.104,2,6,2,26,9,0,2,18,30,3,80,2,44,35,2,7,210,210,1,1,0,3,3,1,1,18,0,0,0,0,0,0,0,0,0,0,0,3,46,6,1,2,6,0,0,90,7,6,2,33,28000,65,0.292,0.833,0.669,0.3,1,0.697,1,0.0,0.5,0.0,0.167,10.413,1,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
3430,17,7,10,1,0,0.059,0.0,0.588,0.412,4,0,0.235,0.0,0,1,3,0,0,4,4,10,7,5,77,3,33,35,1,33,29,29,2,4,2,3,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,23,5,0,0,5,0,1,89,3,2,1,34,18452,63,0.588,0.25,0.938,0.395,1,0.801,1,0.0,0.0,0.0,0.0,52.126,0,1,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
44098,17,11,6,1,2,0.059,0.118,0.353,0.647,4,5,0.235,0.294,0,4,1,2,2,0,2,12,5,6,189,4,50,27,27,1,4,4,0,0,0,0,0,0,0,45,8,14,0,0,0,0,0,0,0,0,0,4,8,1,0,0,1,0,0,25,3,1,1,50,43000,164,0.353,0.25,0.541,1.0,1,0.448,1,0.0,0.0,0.0,0.0,3.306,1,0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
33092,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,1,2,1,2,0,0,1,3,4,1,20,3,34,4,1,4,56,56,4,4,0,56,56,2,0,4,4,4,0,0,0,0,0,0,0,0,0,56,16,4,2,2,3,3,3,2,10,9,3,29,35000,45,0.857,0.6,0.961,0.21,1,0.969,1,1.0,1.0,1.0,0.5,20.452,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
